Timestamp,Date,Measure,EURC,USDe,USDD,CNHT,USDP,TRYB,sEUR,AUDF,BEAN,EURQ,FRAX,USDS,GHO,GYEN,USDT,USDG,AUDD,PYUSD,USDM,GUSD,deUSD,VCHF,sUSD,1GBP,BRZ,M,USDtb,aUSDT,USDQ,FXD,IDRT,EURS,FDUSD,AUSD,XSGD,ZUSD,USDz,BSC-USD,XIDR,RLUSD,USDV,AGEUR,MXNB,BSC-BUSD,AEUR,USDGLO,USDC,EUROe,USD0,LUSD,MXNT,BUSD,EURCV,omUSD,EURT,EURØP,USDO,USD1,pUSD,USDon,BRLA,avUSD,BBRL,lvlUSD
1680307200000,2023-04-01,Bridged Token Market Cap (Dollar),29845007.60,,716633682.12,2975232.39,757574028.99,15621330.70,5530497.78,,32391516.54,,1044080997.75,5254035449.53,,17425983.37,81269727374.88,,,,,342474504.89,,32800.91,34512459.25,4498704.42,,,,,,,2352352.40,48132826.98,,,54785613.40,1809713.97,,,4266043.60,,,21837916.78,,,,101169.30,35140114545.77,1034366.70,,271877449.15,1120225.86,7557099243.38,,,43972012.99,,,,,,,,,
1680393600000,2023-04-02,Bridged Token Market Cap (Dollar),29820301.98,,717020056.85,2985275.95,757274795.68,15659731.33,5785674.06,,32349217.20,,1044095263.78,5266385595.00,,17291350.48,81294195531.79,,,,,342647555.71,,32849.71,34243651.11,4503835.81,,,,,,,2355931.09,48190519.42,,,54866623.91,1851587.99,,,4261475.63,,,21911667.28,,,,101169.30,35161655106.58,1013327.65,,272569843.46,1119381.93,7559633438.39,,,43904685.76,,,,,,,,,
1680480000000,2023-04-03,Bridged Token Market Cap (Dollar),29766999.45,,717458657.23,2983014.12,758459763.19,18480116.97,5505656.59,,32365228.70,,1046314285.12,5254500421.39,,17329893.48,81365351153.69,,,,,342002975.58,,32714.64,34635871.75,4501691.69,,,,,,,2355614.26,47943831.97,,,54707763.10,1825327.48,,,4260507.60,,,22020317.28,,,,100744.18,35371638166.73,1031026.89,,272667360.93,1100107.88,7428287223.12,,,43731855.30,,,,,,,,,
1680566400000,2023-04-04,Bridged Token Market Cap (Dollar),29951681.70,,715862964.62,2981906.11,757345957.85,23126748.06,5516101.80,,32386167.28,,1044650579.79,5242124897.83,,17459006.47,81349853137.17,,,,,340005277.23,,32866.90,34971407.40,4525822.70,,,,,,,2353644.91,48122724.35,,,50744226.39,1827302.41,,,4278988.29,,,22010922.88,,,,100744.18,35369441072.71,1037089.73,,272561417.02,1117448.51,7292701013.75,,,43885641.04,,,,,,,,,
1680652800000,2023-04-05,Bridged Token Market Cap (Dollar),30181437.29,,717280017.83,2980600.84,759437339.95,24650680.96,5560100.42,,32446653.73,,1047038550.75,5246619883.81,,17574735.02,81428212124.26,,,,,339998966.52,,33165.50,39252059.74,4568355.70,,,,,,,2365225.60,48336549.29,,,50784558.33,1827413.87,,,4279404.95,,,22318760.42,,,,100744.18,35324747871.07,1043176.90,,273165773.95,1118740.74,7177035486.29,,,44212665.91,,,,,,,,,
1680739200000,2023-04-06,Bridged Token Market Cap (Dollar),30488902.42,,717384555.60,2997444.13,797335512.34,27502984.69,5533111.31,,32326953.50,,1044180610.76,5240678016.90,,17667858.38,81353338373.46,,,,,339277987.68,,33109.37,38876987.36,4572494.11,,,,,,,2356129.46,47876993.42,,,50640817.93,1830890.33,,,4282596.15,,,22165172.39,,,,100923.12,35427667223.83,1092830.00,,273556315.86,1109248.40,7072665639.96,,,43972109.15,,,,,,,,,
1680825600000,2023-04-07,Bridged Token Market Cap (Dollar),30672526.63,,718268371.04,2971536.33,842757918.13,32017558.47,5610859.59,,32327770.08,,1045020125.96,5243422427.30,,17450631.46,81377133400.01,,,,,339898173.79,,33215.76,38990499.68,4549450.01,,,,,,,2360990.12,47727693.97,,,50574407.48,1820784.36,,,4273413.13,,,22215466.62,,,,100923.12,35302744098.25,1088840.94,,273929538.07,1100260.47,7072422791.75,,,44033791.73,,,,,,,,,
1680912000000,2023-04-08,Bridged Token Market Cap (Dollar),30629392.25,,719873445.24,2972612.13,842805160.18,31826288.37,5594926.92,,32279125.51,,1044817722.80,5240580755.74,,17691759.18,81418210355.82,,,,,340393922.71,,33157.79,38884302.00,4555993.78,,,,,,,2357056.06,47879520.81,,,50556719.93,1817224.84,,,4282783.51,,,22162583.48,,,,100923.12,35329612791.96,1090457.13,,273533911.86,1111576.93,7071187988.36,,,43985720.77,,,,,,,,,
1680998400000,2023-04-09,Bridged Token Market Cap (Dollar),30626461.46,,719295590.86,2988932.70,843337437.43,31724624.03,5601627.77,,32305120.85,,1045442624.63,5230273562.49,,17459562.35,81411686079.52,,,,,341118543.90,,33200.67,38755571.63,4551134.55,,,,,,,2359273.63,47794353.36,,,50644224.01,1826146.88,,,4275500.67,,,22385732.68,,,,100923.12,35320349603.31,1091146.13,,273811504.32,1108712.48,7075882769.84,,,43992932.85,,,,,,,,,
1681084800000,2023-04-10,Bridged Token Market Cap (Dollar),30614336.18,,719714693.09,2981344.37,885711450.54,35240032.98,5628675.36,,32258498.42,,1044568908.34,5217365122.93,,17644323.12,81544087911.29,,,,,341389448.34,,33233.74,38260972.08,4553124.90,,,,,,,2359598.17,48008920.30,,,44572299.37,1812241.47,,,4279735.87,,,22920686.77,,,,100923.12,35129424167.63,1089144.54,,273463794.48,1111505.93,6957591926.13,,,44037671.83,,,,,,,,,
1681171200000,2023-04-11,Bridged Token Market Cap (Dollar),30531885.22,,719139692.09,2972687.11,931008299.81,39547296.92,5503426.85,,32195891.45,,1045134129.58,5203473157.82,,17450004.20,81628626453.99,,,,,339407796.13,,33061.92,38741422.45,4542413.02,,,,,,,2365129.24,47876695.15,,,44535570.02,1812266.86,,,4300614.96,,,22741514.68,,,,100923.12,35128911342.90,1158753.01,,275155204.15,1110394.67,6896779790.91,,,43809572.75,,,,,,,,,
1681257600000,2023-04-12,Bridged Token Market Cap (Dollar),30973029.81,,719713266.39,2977413.97,929922546.64,41880297.49,5296514.10,,32191404.77,,1044521624.87,5181717836.36,,17535399.27,81623598464.27,,,,,351710692.72,,33286.66,38524169.78,4559730.28,,,,,,,2365623.63,47787540.38,,,44546376.30,1787164.51,,,4300734.74,,,22809056.87,,,,100923.12,34793438487.02,1150513.71,,276523944.78,1091073.83,6803249803.68,,,44082920.47,,,,,,,,,
1681344000000,2023-04-13,Bridged Token Market Cap (Dollar),31198594.19,,718576493.75,2979910.94,977324334.06,45163285.85,5389303.02,,32147707.67,,1044724551.65,5164230394.82,,17352565.52,81601963755.93,,,,,352656813.11,,33530.48,38780329.51,4575521.57,,,,,,,2374103.07,48067039.92,,,44588033.97,1803653.28,,,4307843.27,,,22816672.14,,,,100923.12,34664668711.16,1164596.59,,273524837.15,1097713.49,6716678287.18,,,44358556.82,,,,,,,,,
1681430400000,2023-04-14,Bridged Token Market Cap (Dollar),33430066.55,,718227126.61,2982945.50,1015596239.78,51251914.19,5454734.54,,32238122.09,,1046262229.88,5178415305.81,,17723382.72,82685861624.18,,,,,362957098.94,,33829.09,38689245.50,4587750.24,,,,,,,2391806.86,48350139.56,,,44880266.01,1790095.81,,,4333849.62,,,23124717.71,,,,100923.12,34606487064.95,1104518.49,,276821084.23,1101289.32,6691725563.05,,,44607037.26,,,,,,,,,
1681516800000,2023-04-15,Bridged Token Market Cap (Dollar),33252692.46,,718596856.57,2982362.51,1013850353.05,51111049.02,5442619.65,,32227825.97,,1044893501.27,5187778113.26,,17489137.42,82746011655.96,,,,,360848552.76,,33669.34,38931211.61,4556435.45,,,,,,,2391639.07,48260738.85,,,44589146.01,1796403.73,,,4337641.58,,,23060168.57,,,,101233.59,34590765005.75,1090124.68,,276726984.48,1099598.33,6692582544.94,,,44422374.17,,,,,,,,,
1681603200000,2023-04-16,Bridged Token Market Cap (Dollar),33197519.93,,717744298.70,2991405.48,1013369874.78,49964499.50,5289858.97,,32241395.87,,1044096410.44,5177268792.65,,17072893.95,82711998250.52,,,,,361133165.02,,33607.89,39050133.61,4543260.53,,,,,,,2390454.99,48163860.60,,,44568296.00,1792793.21,,,4335656.58,,,22999072.19,,,,101233.59,34533019151.64,1086479.71,,276349895.03,1100702.06,6687810207.13,,,44386342.59,,,,,,,,,
1681689600000,2023-04-17,Bridged Token Market Cap (Dollar),34970764.58,,718923656.01,2987506.16,994874244.34,7862108.35,5426534.53,,32210374.47,,1040008742.70,5044081520.36,,17118447.84,82723224276.55,,,,,371751209.77,,33448.04,38800990.81,4543291.11,,,,,,,2396294.42,47865862.19,,,44471551.37,1789495.35,,,4346489.03,,,23114740.83,,,,101155.06,34377788267.73,1094519.20,,278632739.55,1123615.95,6660906875.91,,,44371403.95,,,,,,,,,
1681776000000,2023-04-18,Bridged Token Market Cap (Dollar),38754260.33,,716586168.88,2970538.49,1031853661.16,12882756.49,5306160.82,,32197290.49,,1038843091.03,5022779715.31,,17579433.00,82771137606.93,,,,,378810144.50,,33404.94,39365867.15,4536104.28,,,,,,,2384422.08,47598879.83,,,44424990.10,1801948.83,,,4330636.05,,,21223361.03,,,,101155.06,34108090137.31,1085282.89,,278940678.20,1099784.60,6647424847.63,,,44151291.05,,,,,,,,,
1681862400000,2023-04-19,Bridged Token Market Cap (Dollar),39074266.92,,715425574.77,2975975.00,1066637612.00,17677549.03,5166885.17,,32194605.14,,1038523271.01,5015733709.31,,17153720.14,82667295648.68,,,,,389474529.37,,33368.40,39973335.87,4566881.40,,,,,,,2378978.12,47405631.81,,,44494752.57,1808505.50,,,4307969.57,,,20857372.26,,,,101155.06,33967903624.35,1112017.75,,277067737.16,1116487.01,6616301761.09,,,44218387.50,,,,,,,,,
1681948800000,2023-04-20,Bridged Token Market Cap (Dollar),38990315.51,,714987363.49,2972231.34,1070865845.93,24406076.25,5151316.29,,32257437.03,,1038576739.56,5013509370.48,,17057509.97,82889873880.71,,,,,400956530.32,,33722.83,40006907.94,4487837.91,,,,,,,2358424.12,47311192.61,,,44318530.06,1810736.28,,,4270495.99,,,20880868.43,,,,101155.06,33764277901.84,1052582.73,,278674962.43,1097189.26,6599996393.20,,,44120904.13,,,,,,,,,
1682035200000,2023-04-21,Bridged Token Market Cap (Dollar),39120710.31,,714768863.11,2935040.86,1047490263.74,23812166.37,4965998.76,,32166606.52,,1041783056.11,4969888729.16,,17198869.56,82810287551.00,,,,,406512989.68,,33755.98,40009457.02,4491748.17,,,,,,,2351711.28,47268329.04,,,44421759.87,1809371.38,,,4263713.24,,,20461175.77,,,,101155.06,33530099441.56,1054709.67,,272218735.99,1121063.01,6453520685.62,,,44146891.68,,,,,,,,,
1682121600000,2023-04-22,Bridged Token Market Cap (Dollar),39274004.82,,715817137.48,2974497.96,1048768756.86,24022376.72,5076430.25,,32132745.63,,1040070947.14,4943628064.28,,17285305.36,82876063823.94,,,,,404849517.53,,33640.88,40047088.47,4487412.59,,,,,,,2348996.76,47600161.71,,,44386965.13,1819863.82,,,4260237.28,,,20579416.31,,,,101155.06,33561566218.25,1071055.03,,273359857.57,1102297.08,6449171251.51,,,44279026.73,,,,,,,,,
1682208000000,2023-04-23,Bridged Token Market Cap (Dollar),39193424.80,,717294457.70,2978673.15,1048555122.89,23987473.52,4827276.75,,32193493.09,,1039177037.16,4941082408.16,,17211772.63,82945088296.97,,,,,405458440.35,,33808.18,41054133.16,4487626.33,,,,,,,2354417.85,47504081.25,,,44419207.45,1792083.33,,,4265928.95,,,20475038.20,,,,101155.06,33571004641.11,1107667.86,,273321166.40,1120347.90,6456789868.12,,,44267823.96,,,,,,,,,
1682294400000,2023-04-24,Bridged Token Market Cap (Dollar),39218300.15,,716557548.53,2969522.61,1046263804.87,28514568.53,4709413.43,,32149264.75,,1041408414.79,4952697749.49,,17517971.70,82890583771.34,,,,,420032058.25,,33601.04,40615710.77,4495051.25,,,,,,,2341933.43,46780007.93,,,44412146.83,1777452.97,,,4249945.94,,,20534839.91,,,,101155.06,33480314071.76,1039288.78,,274532951.31,1097888.57,6417364667.41,,,44285123.35,,,,,,,,,
