eip,title,status,created,finalized,path,history_note
7528,ETH (Native Asset) Address Convention,Final,2023-10-03,,/Users/mac/PhD/sim/ERCs/ERCS/erc-7528.md,only one commit available
7535,Native Asset ERC-4626 Tokenized Vault,Final,2023-10-12,2024-04-02,/Users/mac/PhD/sim/ERCs/ERCS/erc-7535.md,
7540,Asynchronous ERC-4626 Tokenized Vaults,Final,2023-10-18,2024-06-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-7540.md,
7575,Multi-Asset ERC-4626 Vaults,Final,2023-12-11,2024-06-11,/Users/mac/PhD/sim/ERCs/ERCS/erc-7575.md,
7578,Physical Asset Redemption,Final,2023-08-01,2025-01-24,/Users/mac/PhD/sim/ERCs/ERCS/erc-7578.md,
7588,Blob Transactions Metadata JSON Schema,Final,2024-01-01,2024-09-03,/Users/mac/PhD/sim/ERCs/ERCS/erc-7588.md,
7631,Dual Nature Token Pair,Final,2024-02-21,2025-07-16,/Users/mac/PhD/sim/ERCs/ERCS/erc-7631.md,
7734,Decentralized Identity Verification (DID),Final,2024-06-26,2025-01-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-7734.md,
7743,Multi-Owner Non-Fungible Tokens (MO-NFT),Final,2024-07-13,2025-05-28,/Users/mac/PhD/sim/ERCs/ERCS/erc-7743.md,
7751,Wrapping of bubbled up reverts,Final,2024-08-06,2025-02-11,/Users/mac/PhD/sim/ERCs/ERCS/erc-7751.md,
777,Token Standard,Final,2017-11-20,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-777.md,only one commit available
7818,Expirable ERC-20,Final,2024-11-13,2025-02-18,/Users/mac/PhD/sim/ERCs/ERCS/erc-7818.md,
7820,Access Control Registry,Final,2024-11-19,2025-01-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-7820.md,
7837,Diffusive Tokens,Final,2024-12-07,2025-05-28,/Users/mac/PhD/sim/ERCs/ERCS/erc-7837.md,
7858,Expirable NFTs and SBTs,Final,2024-01-04,2025-09-09,/Users/mac/PhD/sim/ERCs/ERCS/erc-7858.md,
7878,Bequeathable Contracts,Final,2025-02-01,2025-09-09,/Users/mac/PhD/sim/ERCs/ERCS/erc-7878.md,
7950,Encode chain id with transaction hash,Final,2025-05-22,2025-10-07,/Users/mac/PhD/sim/ERCs/ERCS/erc-7950.md,
820,Pseudo-introspection Registry Contract,Final,2018-01-05,2023-10-25,/Users/mac/PhD/sim/ERCs/ERCS/erc-820.md,only one commit available
